iter	Logloss
0	0.5196521954
1	0.3827670936
2	0.2784628165
3	0.2113947049
4	0.1592713518
5	0.1197508962
6	0.09004169361
7	0.06948494657
8	0.05757246802
9	0.04515006485
10	0.03588978527
11	0.02870539606
12	0.02254336862
13	0.01872759242
14	0.0150282735
15	0.0128997836
16	0.01086512132
17	0.008666433298
18	0.006843137773
19	0.005754141845
20	0.004732003049
21	0.003808892205
22	0.00302493548
23	0.002506731589
24	0.002123177277
25	0.00178427811
26	0.001510165418
27	0.001327959418
28	0.001135922638
29	0.000996249103
30	0.0008641761478
31	0.000778402923
32	0.0006943647838
33	0.0006235283518
34	0.0005722931023
35	0.0005305714207
36	0.0004891225555
37	0.000447205585
38	0.0004080230538
39	0.0003817762037
40	0.0003598388831
41	0.0003342771207
42	0.0003226660844
43	0.0003122931752
44	0.0002903566696
45	0.0002903538911
46	0.0002762207053
47	0.0002621119811
48	0.0002515262264
49	0.0002403661554
50	0.0002403627736
